country,gdp_per_capita,family,freedom,generosity,health,trust_corruption,happiness_score,happiness_rank
"South Korea",1.24461,0.95774,0.33,0.18557,0.97,0.07857,5.98,47
Spain,1.23011,1.31379,0.46,0.18227,0.96,0.06398,6.33,36
"Sri Lanka",0.83524,1.01905,0.54,0.40828,0.71,0.09179,4.27,132
Sudan,0.52107,1.01404,0.1,0.19062,0.37,0.1466,4.55,118
Suriname,0.99534,0.972,0.6,0.16991,0.61,0.13633,6.27,40
Swaziland,0.71206,1.07284,0.31,0.18259,0.08,0.0306,4.87,101
Sweden,1.33171,1.28907,0.66,0.36262,0.91,0.43844,7.36,8
Switzerland,1.39651,1.34951,0.67,0.29678,0.94,0.41978,7.59,1
Syria,0.6632,0.47489,0.16,0.47179,0.72,0.18906,3.01,156
Taiwan,1.29098,1.07617,0.4,0.25376,0.88,0.08129,6.3,38
Tajikistan,0.39047,0.85563,0.47,0.22974,0.57,0.15072,4.79,106
Tanzania,0.2852,1.00268,0.33,0.34377,0.38,0.05747,3.78,146
Thailand,0.9669,1.26504,0.56,0.5763,0.74,0.03187,6.46,34
Togo,0.20868,0.13995,0.36,0.16681,0.28,0.10731,2.84,158
"Trinidad and Tobago",1.21183,1.18354,0.56,0.31844,0.61,0.0114,6.17,41
Tunisia,0.88113,0.60429,0.26,0.06431,0.74,0.06358,4.74,107
Turkey,1.06098,0.94632,0.23,0.12253,0.73,0.15746,5.33,76
Turkmenistan,0.95847,1.22668,0.48,0.16979,0.54,0.30844,5.55,70
Uganda,0.21102,1.13299,0.46,0.29066,0.34,0.07267,3.93,141
Ukraine,0.79907,1.20278,0.25,0.15275,0.67,0.02961,4.68,111
"United Arab Emirates",1.42727,1.12575,0.64,0.26428,0.81,0.38583,6.9,20
"United Kingdom",1.26637,1.28548,0.6,0.51912,0.91,0.32067,6.87,21
"United States",1.39451,1.24711,0.55,0.40105,0.86,0.1589,7.12,15
Uruguay,1.06166,1.2089,0.6,0.2324,0.81,0.24558,6.49,32
Uzbekistan,0.63244,1.34043,0.66,0.22837,0.6,0.30826,6,44
Venezuela,1.04424,1.25596,0.43,0.05841,0.72,0.11069,6.81,23
Vietnam,0.63216,0.91226,0.59,0.1686,0.75,0.10441,5.36,75
Yemen,0.54649,0.68093,0.36,0.09131,0.4,0.07854,4.08,136
Zambia,0.47038,0.91612,0.49,0.19591,0.3,0.12468,5.13,85
Zimbabwe,0.271,1.03276,0.26,0.18987,0.33,0.08079,4.61,115
